,SB1: Wide Buffer (No Swap),Swap10: Force Swap (Cap 10),Swap15: Force Swap (Cap 15),Swap20: Force Swap (Cap 20),Swap25: Force Swap (Cap 25),Swap30: Force Swap (Cap 30),S&P 500
2023-04-18,149761.80610084534,147965.513297081,144639.32857894897,143496.9410057068,134241.16888809204,128806.69742202759,116034.87507651481
2023-04-19,149162.04218101501,147368.6043844223,144091.51060676575,142919.9827594757,133853.32683372498,128458.9878616333,116015.25964007003
2023-04-20,149167.77673912048,147370.5024213791,144337.98191261292,143128.09793663025,133911.95913505554,128470.10262870789,115382.15238040056
2023-04-21,150202.25784111023,148390.37497997284,145070.32902908325,143812.86209106445,134652.5016899109,129069.854763031,115471.81282160257
2023-04-24,150023.36401939392,148214.05266475677,145185.72485733032,144043.85258865356,134933.1399116516,129303.07758903503,115592.25195576268
2023-04-25,148131.36993980408,146333.17883968353,143808.8938140869,142815.1402244568,133732.4236240387,128244.76207733154,113757.34925461785
2023-04-26,145648.61890220642,143870.50392055511,141436.54002571106,140566.27520179749,132021.1654548645,126767.78677177429,113275.5218401583
2023-04-27,145867.9273853302,144087.38156414032,142574.31085395813,142443.91828346252,134171.3626613617,128528.14686965942,115530.63255175475
2023-04-28,144617.38946723938,142848.5093755722,142049.50679016113,142100.1322441101,134024.15376663208,128406.42234992981,116516.69363124699
2023-05-01,145243.77385520935,143471.53026103973,142855.5749053955,142596.69263839722,134580.56253433228,128927.86994171143,116399.03645148782
2023-05-02,144107.3660030365,142342.7140417099,141832.76377105713,141135.3521270752,133443.34030914307,127824.4771938324,115090.80024513094
2023-05-03,142615.19854927063,140860.38392925262,141001.52721214294,140024.25623512268,132733.54785346985,127216.46368026733,114300.82265226748
2023-05-04,140034.06306266785,138286.30362987518,139380.50856781006,138429.32098388672,131275.2674369812,125963.40990638733,113491.22962295923
2023-05-05,142258.48363304138,140495.0562391281,141204.00378990173,140633.7592868805,133398.1549282074,127970.60868263245,115592.25195576268
2023-05-08,141878.40426445007,140111.6924085617,141165.51756477356,140533.92225456238,133464.39510536194,127817.81976222992,115623.06608763033
